src_ip,bytes_per_sec,pkts_per_sec,pkt_byte_asymmetry,failed_conn_flag,http_error_flag,unusual_cipher_flag,ssl_cert_mismatch_flag,dns_query_entropy,node_degree,flow_rate,trust_score
0,0.4980089222172159,0.9506948182198237,0.3128129583805693,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,9.735202492053882e-05,0.4784367824337228
1,0.5054759578295114,0.9509616007831985,0.31216762497726475,0.9039683661980871,0.0,0.0,0.0,0.0,0.0,0.025327751816826848,0.5358470258812603
10,0.4970882381014037,0.9506137232351648,0.31485051150943827,0.9975718179621627,0.0,0.0,0.0,0.0,0.12015503829397273,0.060147326063406226,0.44729372674766327
11,0.5061595330258462,0.9041496104315252,0.31281295895571387,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,0.02664200415325412,0.468349573292515
12,0.20709585008191267,0.9508557692935343,0.3225516305491184,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,1.622533748675647e-05,0.37389517582796206
13,0.6572220095176124,0.9276655492089615,0.34266281098857754,0.9698008546722501,0.0,0.0,0.0,0.0,0.999999996124031,0.05156412253291206,0.1922781925606343
14,0.48950138956292577,0.9505957932751458,0.31357005685739525,0.9999990000010001,0.0,0.0,0.0,0.0,0.007751937954449853,0.00022715472481459056,0.47250559832414957
15,0.5257128490294306,0.9438470166642503,0.3148130208593633,0.9807682500009808,0.0,0.0,0.0,0.0,0.007751937954449853,0.0016712097611359163,0.4926074505382082
16,0.49737061580776065,0.9475077661610946,0.3128847478586258,0.880959119040881,0.0,0.0,0.0,0.0,0.05426356568114897,0.40561721183142496,0.5908495615099184
17,0.5068083300211438,0.9046236805819523,0.3128465486768002,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,0.02701518691544952,0.46879339178882895
18,0.4984670710584872,0.9317000882834728,0.3436427351998125,0.9964343647823654,0.0,0.0,0.09695323029019816,0.0,0.2325581386334956,0.06825999480678446,0.3603572863611425
19,0.4305429693905266,0.949538226990712,0.31416826073168147,0.9999990000010001,0.0,0.0,0.0,0.0,0.007751937954449853,0.01199052440271303,0.45346657316903616
2,0.4981603050302715,0.9508830759287762,0.31214911983358185,0.9253959000009255,0.0,0.0,0.0,0.0,0.0,0.020427699895826393,0.5212485574613056
20,0.49210501440227206,0.9493667261799297,0.31101269617397276,0.9975976914163109,0.0,0.0,0.0008274365864495357,0.0,0.422480618517517,0.9999999999837746,0.5044610980279829
21,0.5136514433369976,0.949367446245319,0.30648928484866966,0.9971988051401836,0.0,0.0,0.001680032914928158,0.0,0.4418604634036416,0.4925038940730058,0.4184322963942798
22,0.4357451535718333,0.9503677540122282,0.31345795644135915,0.9953712454191466,0.0,0.0,0.0,0.0,0.09302325545339823,0.4417510384144316,0.5033117454570745
23,0.4975623235724672,0.9507720593653246,0.3128507002466714,0.24737765282363972,0.0,0.0,0.0,0.0,0.01162790693167478,0.15313473520000756,0.8935734812528339
24,0.42237408511774577,0.951241420547479,0.30241289174736175,0.9280293750009281,0.0,0.0,0.0,0.0,0.34883720795024337,0.00855075285552066,0.3736124101646064
25,0.49309206951951706,0.9494474186312812,0.3126760480632616,0.9793968019027228,0.0,0.0,0.0,0.0,0.027131782840574485,0.010221962616656576,0.4794130322469963
26,0.4976909328507256,0.950781401999111,0.31278814126648413,0.26799973200026805,0.0,0.0,0.0,0.0,0.01162790693167478,0.12167380581318675,0.8774110271605984
27,0.9999998724156197,0.0,0.3128129583805693,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.00014602803738080823,0.3223609590865573
28,0.515079263138826,0.9019498336107725,0.3128129583805693,0.9999990000010001,0.0,0.0,0.0,0.0,0.03100775181779941,0.011211708203348719,0.4585654383102448
29,0.5006179381287174,0.9504020291846417,0.31319724596168874,0.9999990000010001,0.0,0.0,0.0,0.0,0.007751937954449853,0.005824896157745572,0.4774084415609793
3,0.5031681881231124,0.9509805392809008,0.3122428733992509,0.8037086244212057,0.0,0.0,0.0,0.0,0.0,0.010481568016444679,0.5847564150926144
30,0.4555204818271028,0.9497486869284871,0.31429428754443667,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.0005678868120364763,0.4628943603102527
31,0.478776833192934,0.9504094689798935,0.31314278729768513,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.010481568016444679,0.47333889879260016
32,0.498008807686247,0.9506934618441688,0.3128153761920442,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,0.022829049843866352,0.4810408286719775
33,0.49800358020976204,0.950312626064167,0.3130195276725785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999996521440964
34,0.4980089222172159,0.9506948182198237,0.3128129583805693,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,9.735202492053882e-05,0.4784367824337228
35,0.4980089222172159,0.9506948182198237,0.3128129583805693,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.0,0.47841985019542393
36,0.7931119288704291,0.9481382991272631,0.9999980948419499,0.9999990000010001,0.0,0.0,0.0,0.0,0.01162790693167478,0.0004543094496291811,0.3371766474196892
37,0.5006948645910059,0.9506713213601924,0.2943246238605565,0.9999990000010001,0.0,0.0,0.0,0.0,0.5426356568114897,0.02375389408061147,0.30114972330718376
38,0.4523083971766501,0.9407590967149043,0.0,0.9999990000010001,0.0,0.0,0.0,0.0,0.015503875908899706,0.00024338006230134701,0.5625295035115693
39,0.5470354716248249,0.9581233084417,0.6985521723771436,0.9999990000010001,0.0,0.0,0.9999490026008673,0.0,0.04651162772669912,0.0008112668743378234,0.0
4,0.6018603412434193,0.9484215354575318,0.31941911188373123,0.9748417924538051,0.0,0.0,0.0,0.0,0.015503875908899706,0.005143431983301801,0.5200845116487515
40,0.5969452753146524,0.9497399164579184,0.3147366160099844,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.00029205607476161645,0.5118849175392626
41,0.5013216614384431,0.9503200110487798,0.3137258795451787,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.0008112668743378234,0.4792653641726793
42,0.5015770870599754,0.9503655251958373,0.31299221926449616,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.0012331256489934916,0.47969862894032733
43,0.5134751818916556,0.950498902937296,0.3130455878732709,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.004559319833778568,0.48444380126032477
44,0.4589843869232853,0.9497027354227675,0.3139678833542966,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.004218587746556682,0.46483181620568725
45,0.49802279927789306,0.9504221679728945,0.31311657329461123,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,9.735202492053882e-05,0.47689287372195466
46,0.6240137561917476,0.950935888926092,0.3142082706535563,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.004883826583513697,0.5226992997890159
47,0.5175730765499456,0.9505589367823725,0.3130242766118209,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,0.0036182502595466922,0.48438561749062786
48,0.0,0.9474590620033984,0.32501264140788755,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,8.112668743378234e-05,0.29982930808177377
49,0.4996162340743003,0.9504801787024556,0.3130866579215582,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,0.0034884475596526406,0.4780675513375274
5,0.5215571027470116,0.9502957401131796,0.3131839460773196,0.9999990000010001,0.0,0.0,0.0,0.0,0.0038759689772249264,0.00541926272057666,0.48593763445057137
50,0.3391905157344696,0.9485921255001001,0.3128129583805693,0.0,0.0,0.0,0.0,0.0,0.0,1.622533748675647e-05,0.9442286515010438
6,0.4282403981181877,0.9495315906123443,0.31389928333830247,0.9999990000010001,0.0,0.0,0.0,0.0,0.0,0.012671988577156802,0.4555719500792969
7,0.4952014295269585,0.9470678729715815,0.3121143787501188,0.6872509456910907,0.0,0.0,0.0,0.0,0.26744185942851995,0.35520508826007263,0.6083603473712211
8,0.28340979002538325,0.9999999995207941,0.3135926252459654,0.9841260000009842,0.0,0.0,0.0,0.0,0.015503875908899706,0.001005970924178901,0.42371428865987104
9,0.5158137230291728,0.9508415190215742,0.3136503937480392,0.9999990000010001,0.0,0.0,0.0,0.0,0.01162790693167478,0.006928219106845012,0.4815332540600978
